air_store_id,visit_date,air_genre_name,air_first_area_name,air_second_area_name,hpg_exist,hpg_reserve_visitors,hpg_diffday_visit_reserve,hpg_mindiff,hpg_maxdiff,hpg_total_reserve_visitores,hpg_reserve_count
air_00a91d42b08b08d9,2016-06-16,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,1,1,2,1
air_00a91d42b08b08d9,2016-06-17,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,2,2,2,2,1
air_00a91d42b08b08d9,2016-06-22,Italian/French,Tōkyō-to,Chiyoda-ku,1,6,13,5,13,7,2
air_00a91d42b08b08d9,2016-06-22,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,5,5,13,7,2
air_00a91d42b08b08d9,2016-06-24,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,11,0,11,6,2
air_00a91d42b08b08d9,2016-06-24,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,0,0,11,6,2
air_00a91d42b08b08d9,2016-06-30,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,18,18,18,3,1
air_00a91d42b08b08d9,2016-07-01,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,1,1,1,1,1
air_00a91d42b08b08d9,2016-07-06,Italian/French,Tōkyō-to,Chiyoda-ku,1,7,12,12,12,7,1
air_00a91d42b08b08d9,2016-07-08,Italian/French,Tōkyō-to,Chiyoda-ku,1,9,0,0,0,9,1
air_00a91d42b08b08d9,2016-07-09,Italian/French,Tōkyō-to,Chiyoda-ku,1,6,2,2,2,6,1
air_00a91d42b08b08d9,2016-07-13,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,13,13,13,4,1
air_00a91d42b08b08d9,2016-07-16,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,1,1,1,3,1
air_00a91d42b08b08d9,2016-07-20,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,10,10,10,1,1
air_00a91d42b08b08d9,2016-07-21,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,2,2,8,9,4
air_00a91d42b08b08d9,2016-07-21,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,8,2,8,9,4
air_00a91d42b08b08d9,2016-07-21,Italian/French,Tōkyō-to,Chiyoda-ku,1,5,2,2,8,9,4
air_00a91d42b08b08d9,2016-07-21,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,8,2,8,9,4
air_00a91d42b08b08d9,2016-07-22,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,1,1,2,1
air_00a91d42b08b08d9,2016-07-27,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,18,18,18,2,1
air_00a91d42b08b08d9,2016-08-05,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,5,5,5,2,1
air_00a91d42b08b08d9,2016-08-19,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,0,0,6,7,2
air_00a91d42b08b08d9,2016-08-19,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,6,0,6,7,2
air_00a91d42b08b08d9,2016-08-20,Italian/French,Tōkyō-to,Chiyoda-ku,1,17,23,23,23,17,1
air_00a91d42b08b08d9,2016-08-25,Italian/French,Tōkyō-to,Chiyoda-ku,1,14,9,9,9,14,1
air_00a91d42b08b08d9,2016-08-26,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,12,12,12,2,1
air_00a91d42b08b08d9,2016-08-27,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,1,1,1,3,1
air_00a91d42b08b08d9,2016-09-02,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,1,7,5,2
air_00a91d42b08b08d9,2016-09-02,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,7,1,7,5,2
air_00a91d42b08b08d9,2016-09-12,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,0,0,0,2,1
air_00a91d42b08b08d9,2016-09-17,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,8,8,8,2,1
air_00a91d42b08b08d9,2016-09-23,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,3,3,3,1,1
air_00a91d42b08b08d9,2016-09-24,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,7,7,7,2,1
air_00a91d42b08b08d9,2016-09-28,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,3,3,3,2,1
air_00a91d42b08b08d9,2016-10-25,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,1,1,1,1,1
air_00a91d42b08b08d9,2016-10-26,Italian/French,Tōkyō-to,Chiyoda-ku,1,12,4,4,4,24,2
air_00a91d42b08b08d9,2016-10-26,Italian/French,Tōkyō-to,Chiyoda-ku,1,12,4,4,4,24,2
air_00a91d42b08b08d9,2016-10-31,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,0,0,0,2,1
air_00a91d42b08b08d9,2016-11-04,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,0,1,13,2
air_00a91d42b08b08d9,2016-11-04,Italian/French,Tōkyō-to,Chiyoda-ku,1,11,0,0,1,13,2
air_00a91d42b08b08d9,2016-11-09,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,1,1,1,3,1
air_00a91d42b08b08d9,2016-11-11,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,1,1,19,8,2
air_00a91d42b08b08d9,2016-11-11,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,19,1,19,8,2
air_00a91d42b08b08d9,2016-11-18,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,26,2,26,6,2
air_00a91d42b08b08d9,2016-11-18,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,2,2,26,6,2
air_00a91d42b08b08d9,2016-12-02,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,1,1,2,1
air_00a91d42b08b08d9,2016-12-05,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,1,1,1,1,1
air_00a91d42b08b08d9,2016-12-07,Italian/French,Tōkyō-to,Chiyoda-ku,1,5,6,6,6,5,1
air_00a91d42b08b08d9,2016-12-09,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,3,3,3,2,1
air_00a91d42b08b08d9,2016-12-10,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,4,4,4,2,1
air_00a91d42b08b08d9,2016-12-13,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,4,4,8,6,2
air_00a91d42b08b08d9,2016-12-13,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,8,4,8,6,2
air_00a91d42b08b08d9,2016-12-16,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,2,2,4,4,2
air_00a91d42b08b08d9,2016-12-16,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,4,2,4,4,2
air_00a91d42b08b08d9,2016-12-17,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,6,6,6,2,1
air_00a91d42b08b08d9,2016-12-20,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,2,2,2,4,1
air_00a91d42b08b08d9,2016-12-21,Italian/French,Tōkyō-to,Chiyoda-ku,1,15,1,1,33,37,2
air_00a91d42b08b08d9,2016-12-21,Italian/French,Tōkyō-to,Chiyoda-ku,1,22,33,1,33,37,2
air_00a91d42b08b08d9,2016-12-22,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,10,2,36,11,3
air_00a91d42b08b08d9,2016-12-22,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,2,2,36,11,3
air_00a91d42b08b08d9,2016-12-22,Italian/French,Tōkyō-to,Chiyoda-ku,1,5,36,2,36,11,3
air_00a91d42b08b08d9,2016-12-24,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,20,20,33,4,2
air_00a91d42b08b08d9,2016-12-24,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,33,20,33,4,2
air_00a91d42b08b08d9,2017-01-06,Italian/French,Tōkyō-to,Chiyoda-ku,1,7,2,2,2,7,1
air_00a91d42b08b08d9,2017-01-10,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,3,3,3,4,1
air_00a91d42b08b08d9,2017-01-12,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,0,0,0,1,1
air_00a91d42b08b08d9,2017-01-13,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,2,2,2,2,1
air_00a91d42b08b08d9,2017-01-20,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,15,15,15,2,1
air_00a91d42b08b08d9,2017-01-23,Italian/French,Tōkyō-to,Chiyoda-ku,1,19,4,4,4,19,1
air_00a91d42b08b08d9,2017-01-27,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,1,1,1,1,1
air_00a91d42b08b08d9,2017-01-28,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,1,1,2,1
air_00a91d42b08b08d9,2017-01-31,Italian/French,Tōkyō-to,Chiyoda-ku,1,6,5,5,5,6,1
air_00a91d42b08b08d9,2017-02-03,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,0,0,0,2,1
air_00a91d42b08b08d9,2017-02-07,Italian/French,Tōkyō-to,Chiyoda-ku,1,5,4,4,4,5,1
air_00a91d42b08b08d9,2017-02-15,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,0,0,0,3,1
air_00a91d42b08b08d9,2017-02-18,Italian/French,Tōkyō-to,Chiyoda-ku,1,9,5,5,5,9,1
air_00a91d42b08b08d9,2017-02-21,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,18,18,18,1,1
air_00a91d42b08b08d9,2017-02-23,Italian/French,Tōkyō-to,Chiyoda-ku,1,12,2,2,2,12,1
air_00a91d42b08b08d9,2017-02-25,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,5,5,5,2,1
air_00a91d42b08b08d9,2017-03-01,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,11,11,11,4,1
air_00a91d42b08b08d9,2017-03-02,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,1,1,2,1
air_00a91d42b08b08d9,2017-03-08,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,8,8,8,4,1
air_00a91d42b08b08d9,2017-03-14,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,0,0,0,2,1
air_00a91d42b08b08d9,2017-03-16,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,9,9,9,2,1
air_00a91d42b08b08d9,2017-03-21,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,5,5,5,3,1
air_00a91d42b08b08d9,2017-03-23,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,22,22,22,1,1
air_00a91d42b08b08d9,2017-03-24,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,1,1,2,1
air_00a91d42b08b08d9,2017-03-29,Italian/French,Tōkyō-to,Chiyoda-ku,1,11,12,12,12,11,1
air_00a91d42b08b08d9,2017-03-30,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,2,2,2,3,1
air_00a91d42b08b08d9,2017-04-04,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,2,2,2,2,1
air_00a91d42b08b08d9,2017-04-12,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,1,1,1,1,1
air_00a91d42b08b08d9,2017-04-22,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,0,0,0,9,2
air_00a91d42b08b08d9,2017-04-22,Italian/French,Tōkyō-to,Chiyoda-ku,1,6,0,0,0,9,2
air_0164b9927d20bcc3,,Italian/French,Tōkyō-to,Minato-ku,0,0,-1,-1,-1,0,0
air_0241aa3964b7f861,,Izakaya,Tōkyō-to,Taitō-ku,0,0,-1,-1,-1,0,0
air_0328696196e46f18,,Dining bar,Ōsaka-fu,Ōsaka-shi,0,0,-1,-1,-1,0,0
air_034a3d5b40d5b1b1,,Cafe/Sweets,Ōsaka-fu,Ōsaka-shi,0,0,-1,-1,-1,0,0
air_036d4f1ee7285390,,Cafe/Sweets,Hyōgo-ken,Takarazuka-shi,0,0,-1,-1,-1,0,0
air_0382c794b73b51ad,,Cafe/Sweets,Tōkyō-to,Setagaya-ku,0,0,-1,-1,-1,0,0
air_03963426c9312048,,Izakaya,Hiroshima-ken,Hiroshima-shi,0,0,-1,-1,-1,0,0
air_04341b588bde96cd,,Izakaya,Tōkyō-to,Nerima-ku,0,0,-1,-1,-1,0,0
air_049f6d5b402a31b2,,Japanese food,Fukuoka-ken,Fukuoka-shi,0,0,-1,-1,-1,0,0
air_04cae7c1bc9b2a0b,2016-01-09,Izakaya,Hokkaidō,Sapporo-shi,1,2,5,5,5,2,1
air_04cae7c1bc9b2a0b,2016-01-10,Izakaya,Hokkaidō,Sapporo-shi,1,4,3,3,3,4,1
air_04cae7c1bc9b2a0b,2016-01-12,Izakaya,Hokkaidō,Sapporo-shi,1,3,3,3,3,3,1
air_04cae7c1bc9b2a0b,2016-01-14,Izakaya,Hokkaidō,Sapporo-shi,1,12,6,6,6,12,1
air_04cae7c1bc9b2a0b,2016-01-15,Izakaya,Hokkaidō,Sapporo-shi,1,5,3,2,5,21,4
air_04cae7c1bc9b2a0b,2016-01-15,Izakaya,Hokkaidō,Sapporo-shi,1,4,2,2,5,21,4
air_04cae7c1bc9b2a0b,2016-01-15,Izakaya,Hokkaidō,Sapporo-shi,1,2,3,2,5,21,4
air_04cae7c1bc9b2a0b,2016-01-15,Izakaya,Hokkaidō,Sapporo-shi,1,10,5,2,5,21,4
air_04cae7c1bc9b2a0b,2016-01-16,Izakaya,Hokkaidō,Sapporo-shi,1,2,1,1,10,14,4
air_04cae7c1bc9b2a0b,2016-01-16,Izakaya,Hokkaidō,Sapporo-shi,1,2,1,1,10,14,4
air_04cae7c1bc9b2a0b,2016-01-16,Izakaya,Hokkaidō,Sapporo-shi,1,3,2,1,10,14,4
air_04cae7c1bc9b2a0b,2016-01-16,Izakaya,Hokkaidō,Sapporo-shi,1,7,10,1,10,14,4
air_04cae7c1bc9b2a0b,2016-01-20,Izakaya,Hokkaidō,Sapporo-shi,1,4,6,6,6,4,1
air_04cae7c1bc9b2a0b,2016-01-22,Izakaya,Hokkaidō,Sapporo-shi,1,4,17,17,17,4,1
air_04cae7c1bc9b2a0b,2016-01-23,Izakaya,Hokkaidō,Sapporo-shi,1,9,9,2,9,17,3
air_04cae7c1bc9b2a0b,2016-01-23,Izakaya,Hokkaidō,Sapporo-shi,1,5,7,2,9,17,3
air_04cae7c1bc9b2a0b,2016-01-23,Izakaya,Hokkaidō,Sapporo-shi,1,3,2,2,9,17,3
air_04cae7c1bc9b2a0b,2016-01-24,Izakaya,Hokkaidō,Sapporo-shi,1,2,1,1,1,2,1
air_04cae7c1bc9b2a0b,2016-01-27,Izakaya,Hokkaidō,Sapporo-shi,1,2,14,14,14,2,1
air_04cae7c1bc9b2a0b,2016-01-28,Izakaya,Hokkaidō,Sapporo-shi,1,6,2,2,4,11,2
air_04cae7c1bc9b2a0b,2016-01-28,Izakaya,Hokkaidō,Sapporo-shi,1,5,4,2,4,11,2
air_04cae7c1bc9b2a0b,2016-01-29,Izakaya,Hokkaidō,Sapporo-shi,1,5,7,3,11,11,3
air_04cae7c1bc9b2a0b,2016-01-29,Izakaya,Hokkaidō,Sapporo-shi,1,2,11,3,11,11,3
air_04cae7c1bc9b2a0b,2016-01-29,Izakaya,Hokkaidō,Sapporo-shi,1,4,3,3,11,11,3
air_04cae7c1bc9b2a0b,2016-01-30,Izakaya,Hokkaidō,Sapporo-shi,1,2,1,1,7,10,3
air_04cae7c1bc9b2a0b,2016-01-30,Izakaya,Hokkaidō,Sapporo-shi,1,4,3,1,7,10,3
air_04cae7c1bc9b2a0b,2016-01-30,Izakaya,Hokkaidō,Sapporo-shi,1,4,7,1,7,10,3
air_04cae7c1bc9b2a0b,2016-02-01,Izakaya,Hokkaidō,Sapporo-shi,1,2,6,6,15,5,2
air_04cae7c1bc9b2a0b,2016-02-01,Izakaya,Hokkaidō,Sapporo-shi,1,3,15,6,15,5,2
air_04cae7c1bc9b2a0b,2016-02-05,Izakaya,Hokkaidō,Sapporo-shi,1,7,9,9,9,7,1
air_04cae7c1bc9b2a0b,2016-02-06,Izakaya,Hokkaidō,Sapporo-shi,1,2,2,2,5,4,2
air_04cae7c1bc9b2a0b,2016-02-06,Izakaya,Hokkaidō,Sapporo-shi,1,2,5,2,5,4,2
air_04cae7c1bc9b2a0b,2016-02-07,Izakaya,Hokkaidō,Sapporo-shi,1,4,3,3,3,4,1
air_04cae7c1bc9b2a0b,2016-02-08,Izakaya,Hokkaidō,Sapporo-shi,1,5,1,1,1,5,1
air_04cae7c1bc9b2a0b,2016-02-10,Izakaya,Hokkaidō,Sapporo-shi,1,3,19,19,19,3,1
air_04cae7c1bc9b2a0b,2016-02-13,Izakaya,Hokkaidō,Sapporo-shi,1,2,9,9,9,2,1
air_04cae7c1bc9b2a0b,2016-02-17,Izakaya,Hokkaidō,Sapporo-shi,1,3,2,2,2,3,1
air_04cae7c1bc9b2a0b,2016-02-19,Izakaya,Hokkaidō,Sapporo-shi,1,2,16,7,16,4,2
air_04cae7c1bc9b2a0b,2016-02-19,Izakaya,Hokkaidō,Sapporo-shi,1,2,7,7,16,4,2
air_04cae7c1bc9b2a0b,2016-02-20,Izakaya,Hokkaidō,Sapporo-shi,1,3,18,10,18,6,2
air_04cae7c1bc9b2a0b,2016-02-20,Izakaya,Hokkaidō,Sapporo-shi,1,3,10,10,18,6,2
air_04cae7c1bc9b2a0b,2016-02-21,Izakaya,Hokkaidō,Sapporo-shi,1,2,7,7,7,2,1
air_04cae7c1bc9b2a0b,2016-02-26,Izakaya,Hokkaidō,Sapporo-shi,1,6,2,2,7,25,4
air_04cae7c1bc9b2a0b,2016-02-26,Izakaya,Hokkaidō,Sapporo-shi,1,4,3,2,7,25,4
air_04cae7c1bc9b2a0b,2016-02-26,Izakaya,Hokkaidō,Sapporo-shi,1,6,7,2,7,25,4
air_04cae7c1bc9b2a0b,2016-02-26,Izakaya,Hokkaidō,Sapporo-shi,1,9,6,2,7,25,4
air_04cae7c1bc9b2a0b,2016-02-27,Izakaya,Hokkaidō,Sapporo-shi,1,2,14,1,14,10,4
air_04cae7c1bc9b2a0b,2016-02-27,Izakaya,Hokkaidō,Sapporo-shi,1,3,2,1,14,10,4
air_04cae7c1bc9b2a0b,2016-02-27,Izakaya,Hokkaidō,Sapporo-shi,1,3,2,1,14,10,4
air_04cae7c1bc9b2a0b,2016-02-27,Izakaya,Hokkaidō,Sapporo-shi,1,2,1,1,14,10,4
air_04cae7c1bc9b2a0b,2016-02-28,Izakaya,Hokkaidō,Sapporo-shi,1,2,2,2,2,2,1
air_04cae7c1bc9b2a0b,2016-02-29,Izakaya,Hokkaidō,Sapporo-shi,1,2,11,11,11,2,1
air_04cae7c1bc9b2a0b,2016-03-01,Izakaya,Hokkaidō,Sapporo-shi,1,2,1,1,1,2,1
air_04cae7c1bc9b2a0b,2016-03-03,Izakaya,Hokkaidō,Sapporo-shi,1,5,2,2,2,5,1
air_04cae7c1bc9b2a0b,2016-03-05,Izakaya,Hokkaidō,Sapporo-shi,1,12,11,5,11,14,2
air_04cae7c1bc9b2a0b,2016-03-05,Izakaya,Hokkaidō,Sapporo-shi,1,2,5,5,11,14,2
air_04cae7c1bc9b2a0b,2016-03-09,Izakaya,Hokkaidō,Sapporo-shi,1,2,3,2,13,8,3
air_04cae7c1bc9b2a0b,2016-03-09,Izakaya,Hokkaidō,Sapporo-shi,1,2,2,2,13,8,3
air_04cae7c1bc9b2a0b,2016-03-09,Izakaya,Hokkaidō,Sapporo-shi,1,4,13,2,13,8,3
air_04cae7c1bc9b2a0b,2016-03-11,Izakaya,Hokkaidō,Sapporo-shi,1,4,24,24,27,8,2
air_04cae7c1bc9b2a0b,2016-03-11,Izakaya,Hokkaidō,Sapporo-shi,1,4,27,24,27,8,2
air_04cae7c1bc9b2a0b,2016-03-12,Izakaya,Hokkaidō,Sapporo-shi,1,3,1,1,8,7,3
air_04cae7c1bc9b2a0b,2016-03-12,Izakaya,Hokkaidō,Sapporo-shi,1,2,3,1,8,7,3
air_04cae7c1bc9b2a0b,2016-03-12,Izakaya,Hokkaidō,Sapporo-shi,1,2,8,1,8,7,3
air_04cae7c1bc9b2a0b,2016-03-18,Izakaya,Hokkaidō,Sapporo-shi,1,9,1,1,1,9,1
air_04cae7c1bc9b2a0b,2016-03-20,Izakaya,Hokkaidō,Sapporo-shi,1,7,11,11,11,7,1
air_04cae7c1bc9b2a0b,2016-03-25,Izakaya,Hokkaidō,Sapporo-shi,1,8,5,5,5,8,1
air_04cae7c1bc9b2a0b,2016-03-26,Izakaya,Hokkaidō,Sapporo-shi,1,3,4,4,4,3,1
air_04cae7c1bc9b2a0b,2016-03-27,Izakaya,Hokkaidō,Sapporo-shi,1,2,5,5,5,2,1
air_04cae7c1bc9b2a0b,2016-03-29,Izakaya,Hokkaidō,Sapporo-shi,1,5,4,4,4,5,1
air_04cae7c1bc9b2a0b,2016-03-30,Izakaya,Hokkaidō,Sapporo-shi,1,2,20,9,20,4,2
air_04cae7c1bc9b2a0b,2016-03-30,Izakaya,Hokkaidō,Sapporo-shi,1,2,9,9,20,4,2
air_04cae7c1bc9b2a0b,2016-03-31,Izakaya,Hokkaidō,Sapporo-shi,1,2,66,66,66,2,1
air_04cae7c1bc9b2a0b,2016-04-02,Izakaya,Hokkaidō,Sapporo-shi,1,3,7,3,11,9,3
air_04cae7c1bc9b2a0b,2016-04-02,Izakaya,Hokkaidō,Sapporo-shi,1,4,3,3,11,9,3
air_04cae7c1bc9b2a0b,2016-04-02,Izakaya,Hokkaidō,Sapporo-shi,1,2,11,3,11,9,3
air_04cae7c1bc9b2a0b,2016-04-08,Izakaya,Hokkaidō,Sapporo-shi,1,2,2,2,8,10,2
air_04cae7c1bc9b2a0b,2016-04-08,Izakaya,Hokkaidō,Sapporo-shi,1,8,8,2,8,10,2
air_04cae7c1bc9b2a0b,2016-04-09,Izakaya,Hokkaidō,Sapporo-shi,1,2,3,2,13,12,4
air_04cae7c1bc9b2a0b,2016-04-09,Izakaya,Hokkaidō,Sapporo-shi,1,4,13,2,13,12,4
air_04cae7c1bc9b2a0b,2016-04-09,Izakaya,Hokkaidō,Sapporo-shi,1,4,7,2,13,12,4
air_04cae7c1bc9b2a0b,2016-04-09,Izakaya,Hokkaidō,Sapporo-shi,1,2,2,2,13,12,4
air_04cae7c1bc9b2a0b,2016-04-10,Izakaya,Hokkaidō,Sapporo-shi,1,3,18,18,18,3,1
air_04cae7c1bc9b2a0b,2016-04-17,Izakaya,Hokkaidō,Sapporo-shi,1,2,1,1,1,2,1
air_04cae7c1bc9b2a0b,2016-04-19,Izakaya,Hokkaidō,Sapporo-shi,1,2,1,1,1,2,1
air_04cae7c1bc9b2a0b,2016-04-22,Izakaya,Hokkaidō,Sapporo-shi,1,4,6,6,6,4,1
air_04cae7c1bc9b2a0b,2016-04-23,Izakaya,Hokkaidō,Sapporo-shi,1,2,2,2,18,4,2
air_04cae7c1bc9b2a0b,2016-04-23,Izakaya,Hokkaidō,Sapporo-shi,1,2,18,2,18,4,2
air_04cae7c1bc9b2a0b,2016-04-29,Izakaya,Hokkaidō,Sapporo-shi,1,4,5,3,7,11,3
air_04cae7c1bc9b2a0b,2016-04-29,Izakaya,Hokkaidō,Sapporo-shi,1,5,7,3,7,11,3
air_04cae7c1bc9b2a0b,2016-04-29,Izakaya,Hokkaidō,Sapporo-shi,1,2,3,3,7,11,3
air_04cae7c1bc9b2a0b,2016-05-04,Izakaya,Hokkaidō,Sapporo-shi,1,2,3,3,3,2,1
air_04cae7c1bc9b2a0b,2016-05-06,Izakaya,Hokkaidō,Sapporo-shi,1,4,8,8,8,4,1
air_04cae7c1bc9b2a0b,2016-05-08,Izakaya,Hokkaidō,Sapporo-shi,1,10,7,7,7,10,1
air_04cae7c1bc9b2a0b,2016-05-15,Izakaya,Hokkaidō,Sapporo-shi,1,2,2,2,2,2,1
air_04cae7c1bc9b2a0b,2016-05-19,Izakaya,Hokkaidō,Sapporo-shi,1,2,15,15,15,2,1
air_04cae7c1bc9b2a0b,2016-05-21,Izakaya,Hokkaidō,Sapporo-shi,1,2,5,5,5,2,1
air_04cae7c1bc9b2a0b,2016-05-27,Izakaya,Hokkaidō,Sapporo-shi,1,2,2,2,2,2,1
air_04cae7c1bc9b2a0b,2016-05-29,Izakaya,Hokkaidō,Sapporo-shi,1,2,12,12,12,2,1
air_04cae7c1bc9b2a0b,2016-06-01,Izakaya,Hokkaidō,Sapporo-shi,1,2,2,2,2,2,1
air_04cae7c1bc9b2a0b,2016-06-03,Izakaya,Hokkaidō,Sapporo-shi,1,2,2,2,2,2,1
air_04cae7c1bc9b2a0b,2016-06-08,Izakaya,Hokkaidō,Sapporo-shi,1,4,4,4,4,4,1
air_04cae7c1bc9b2a0b,2016-06-10,Izakaya,Hokkaidō,Sapporo-shi,1,3,9,9,9,3,1
